"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
,,,"Otto Matic",1002004,"     P/2003 T12 (SOHO)",2456072.5,0.7762,2.568,176.47,217.67,28.63,1.5e+03,11.48
,,,"Otto Matic",1001673,"     P/2005 T4 (SWAN)",2453667.5,0.9304,9.324,25.42,41.44,0.47,1.04e+04,160.04
,,70.7,"Otto Matic",1002409,"     P/2006 HR30 (Siding Spring)",2454046.5,0.8431,7.818,309.95,117.41,357.46,7.98e+03,31.88
,,,"Otto Matic",1002480,"     P/2007 T2 (Kowalski)",2454411.5,0.7750,3.093,4.00,358.55,8.88,1.99e+03,9.90
,,,"Otto Matic",1003317,"     P/2008 Y12 (SOHO)",2455493.5,0.9788,3.078,312.57,146.62,122.37,1.97e+03,23.35
,,,"Otto Matic",1003080,"     P/2009 WX51 (Catalina)",2455174.5,0.7403,3.08,31.76,118.02,350.32,1.97e+03,9.59
,,,"Otto Matic",1003099,"     C/2010 L5 (WISE)",2455379.5,0.9042,8.26,206.47,214.76,2.90,8.67e+03,147.05
,,,"Otto Matic",1003152,"     C/2011 S2 (Kowalski)",2455857.5,0.9316,16.31,288.07,192.19,359.95,2.41e+04,17.57
,,,"Otto Matic",1003198,"     P/2012 NJ (La Sagra)",2456158.5,0.8481,8.503,315.76,338.41,2.66,9.06e+03,84.38
,,,"Otto Matic",1003369,"     P/2015 A3 (PANSTARRS)",2457067.5,0.8459,7.482,277.08,249.62,359.57,7.48e+03,172.51
